MZ504548.1 , 1 
MZ504550.1 , 1 
MZ504504.1 , 1 
MZ504494.1 , 1 
MZ504557.1 , 1 
MZ504545.1 , 1 
MZ504543.1 , 1 
OR732920.1 , 1 
MZ504544.1 , 1 
OR732916.1 , 1 
OR732925.1 , 1 
OR732917.1 , 1 
OR732913.1 , 1 
OR732924.1 , 1 
OR732919.1 , 1 
OR732912.1 , 1 
OR732915.1 , 1 
MZ504555.1 , 1 
MZ504606.1 , 1 
MZ504529.1 , 1 
MZ504532.1 , 1 
MZ504537.1 , 1 
MZ504503.1 , 1 
MZ504502.1 , 1 
MZ504517.1 , 1 
MZ504484.1 , 1 
MZ504483.1 , 1 
MZ504499.1 , 1 
MZ504510.1 , 1 
MZ504562.1 , 1 
MZ504509.1 , 1 
MZ504566.1 , 1 
MZ504501.1 , 1 
MZ504495.1 , 1 
MZ504567.1 , 1 
MZ504569.1 , 1 
MZ504574.1 , 1 
MZ504558.1 , 1 
MZ504539.1 , 1 
MZ504549.1 , 1 
OR732914.1 , 1 
MZ504516.1 , 1 
OR732923.1 , 1 
OR732918.1 , 1 
OR732922.1 , 1 
OR732911.1 , 1 
MZ504396.1 , 2 
MZ504405.1 , 2 
MZ504394.1 , 2 
MZ504433.1 , 2 
MZ504444.1 , 2 
MZ504431.1 , 2 
MZ504432.1 , 2 
MZ504414.1 , 2 
MZ504415.1 , 2 
MZ504393.1 , 2 
MZ504434.1 , 2 
MZ504406.1 , 2 
MZ504392.1 , 2 
MZ504409.1 , 2 
OR732910.1 , 2 
MZ504423.1 , 2 
MZ504424.1 , 2 
MZ504442.1 , 2 
MZ504400.1 , 2 
MZ504369.1 , 2 
MZ504389.1 , 2 
MZ504373.1 , 2 
MZ504390.1 , 2 
MZ504371.1 , 2 
MZ504388.1 , 2 
MZ504387.1 , 2 
MZ504385.1 , 2 
MZ504391.1 , 2 
MZ504454.1 , 3 
MZ504455.1 , 3 
MZ504448.1 , 3 
MZ504462.1 , 4 
MZ504475.1 , 4 
MZ504478.1 , 4 
MZ504464.1 , 4 
MZ504480.1 , 4 
MZ504470.1 , 4 
MZ504466.1 , 4 
MZ504482.1 , 4 
MZ504472.1 , 4 
MZ504364.1 , 5 
MZ504365.1 , 5 
MZ504359.1 , 5 
MZ504356.1 , 5 
MZ504361.1 , 5 
MZ504362.1 , 5 
MZ504320.1 , 5 
MZ504332.1 , 5 
MZ504343.1 , 5 
MZ504304.1 , 5 
MZ504301.1 , 5 
MZ504342.1 , 5 
MZ504341.1 , 5 
MZ504352.1 , 5 
MZ504315.1 , 5 
MZ504337.1 , 5 
MZ504366.1 , 5 
MZ051186.1 , 6 
MZ051516.1 , 6 
MZ051549.1 , 6 
MZ051706.1 , 7 
MZ051032.1 , 7 
MZ050845.1 , 7 
MZ051794.1 , 7 
MZ504594.1 , 8 
MZ504579.1 , 8 
MZ504576.1 , 8 
MZ504578.1 , 8 
MZ504593.1 , 8 
MZ504592.1 , 8 
MZ504587.1 , 8 
MZ504588.1 , 8 
MZ504589.1 , 8 
MZ504581.1 , 9 
MZ504582.1 , 9 
MZ504583.1 , 9 
MZ504595.1 , 9 
MZ504585.1 , 10 
MZ504584.1 , 10 
MZ504586.1 , 10 
MK012088.1 , 11 
OR732928.1 , 11 
GU701785.1 , 11 
JN988869.1 , 11 
OR732927.1 , 11 
GU701784.1 , 11 
MZ504458.1 , 12 
MZ504460.1 , 12 
MZ504459.1 , 12 
MZ504596.1 , 13 
MZ504601.1 , 13 
MZ504597.1 , 13 
